coil_id,seq,roll_set,furnace_temp_c,rolling_force_ton,roll_gap_mm,exit_thickness_mm,coiler_tension_kn,motor_current_a
C0001,1,1,1238.8,1056.7,2.552,2.303,55.7,1724.4
C0001,2,1,1239.1,1047.0,2.545,2.293,58.1,1760.9
C0001,3,1,1238.2,1052.7,2.553,2.301,60.1,1726.6
C0001,4,1,1236.5,1045.7,2.563,2.3,57.3,1752.3
C0001,5,1,1236.1,1076.4,2.572,2.307,57.8,1742.2
C0001,6,1,1235.2,1042.6,2.537,2.307,57.4,1778.4
C0001,7,1,1238.0,1044.7,2.561,2.307,59.6,1756.5
C0001,8,1,1235.3,1040.1,2.552,2.308,55.9,1759.3
C0001,9,1,1238.3,1050.0,2.541,2.294,58.3,1738.7
C0001,10,1,1231.3,1058.7,2.548,2.302,56.2,1751.9
C0001,11,1,1234.9,1071.2,2.543,2.308,57.9,1771.0
C0001,12,1,1234.8,1055.0,2.542,2.308,55.4,1734.2
C0001,13,1,1237.2,1065.6,2.549,2.295,57.4,1767.5
C0001,14,1,1238.5,1069.7,2.546,2.304,59.2,1763.3
C0001,15,1,1236.7,1046.7,2.544,2.297,57.6,1755.8
C0001,16,1,1232.8,1051.9,2.559,2.296,57.8,1744.9
C0001,17,1,1236.7,1049.8,2.546,2.299,58.9,1752.4
C0001,18,1,1238.9,1058.2,2.526,2.307,58.4,1756.1
C0001,19,1,1234.5,1051.6,2.55,2.303,54.9,1738.3
C0001,20,1,1233.1,1062.0,2.557,2.303,58.3,1733.2
C0001,21,1,1234.7,1067.2,2.546,2.308,58.9,1743.7
C0001,22,1,1236.4,1040.8,2.553,2.296,56.6,1740.1
C0001,23,1,1235.2,1050.8,2.55,2.289,57.6,1731.3
C0001,24,1,1236.1,1056.8,2.527,2.284,58.0,1731.3
C0001,25,1,1234.9,1048.7,2.515,2.304,57.1,1722.1
C0001,26,1,1236.4,1052.9,2.548,2.303,57.6,1758.5
C0001,27,1,1235.7,1055.0,2.547,2.302,57.6,1769.9
C0001,28,1,1243.0,1050.0,2.541,2.303,59.4,1762.1
C0001,29,1,1229.1,1053.8,2.545,2.291,58.7,1741.7
C0001,30,1,1236.1,1058.7,2.533,2.308,57.2,1702.2
C0002,1,1,1238.2,1049.6,2.55,2.298,57.5,1761.4
C0002,2,1,1246.1,1064.3,2.533,2.297,57.0,1748.0
C0002,3,1,1239.6,1049.9,2.531,2.304,56.3,1743.0
C0002,4,1,1238.1,1061.0,2.554,2.307,57.5,1750.3
C0002,5,1,1237.2,1037.3,2.54,2.306,57.5,1776.2
C0002,6,1,1239.7,1046.2,2.532,2.298,58.9,1761.5
C0002,7,1,1239.0,1058.4,2.55,2.304,59.5,1778.8
C0002,8,1,1239.4,1063.1,2.554,2.288,57.4,1743.9
C0002,9,1,1231.0,1062.9,2.549,2.308,56.3,1751.8
C0002,10,1,1238.0,1053.2,2.539,2.307,56.4,1766.8
C0002,11,1,1236.0,1056.3,2.522,2.303,58.4,1778.5
C0002,12,1,1241.4,1044.6,2.55,2.308,58.8,1767.4
C0002,13,1,1235.5,1064.9,2.544,2.306,57.4,1739.8
C0002,14,1,1245.5,1067.6,2.547,2.302,57.2,1758.6
C0002,15,1,1243.8,1052.3,2.578,2.305,58.2,1767.1
C0002,16,1,1235.8,1062.6,2.538,2.299,58.1,1754.5
C0002,17,1,1237.5,1079.5,2.543,2.305,56.1,1754.5
C0002,18,1,1236.7,1041.0,2.534,2.295,57.5,1756.3
C0002,19,1,1239.0,1058.8,2.533,2.302,58.2,1775.7
C0002,20,1,1236.2,1056.2,2.54,2.311,59.7,1742.7
C0002,21,1,1239.4,1046.7,2.556,2.296,60.0,1751.8
C0002,22,1,1242.2,1057.0,2.549,2.3,55.9,1773.9
C0002,23,1,1233.7,1057.2,2.544,2.291,59.8,1732.1
C0002,24,1,1240.4,1050.1,2.545,2.3,57.2,1727.8
C0002,25,1,1247.0,1060.8,2.572,2.311,58.6,1776.5
C0002,26,1,1242.4,1066.5,2.542,2.297,57.1,1753.7
C0002,27,1,1234.3,1048.5,2.538,2.286,57.2,1776.7
C0002,28,1,1243.2,1042.2,2.552,2.297,57.7,1740.4
C0002,29,1,1239.5,1063.6,2.554,2.298,59.6,1767.7
C0002,30,1,1239.0,1053.0,2.547,2.285,58.8,1781.1
C0003,1,1,1232.0,1071.4,2.532,2.301,57.7,1751.2
C0003,2,1,1230.0,1044.5,2.524,2.307,58.1,1782.4
C0003,3,1,1229.5,1062.2,2.538,2.298,57.1,1745.4
C0003,4,1,1236.8,1069.3,2.535,2.312,58.4,1765.5
C0003,5,1,1232.5,1068.3,2.541,2.312,56.7,1773.0
C0003,6,1,1233.1,1050.3,2.55,2.293,56.3,1756.5
C0003,7,1,1231.3,1055.9,2.536,2.296,59.7,1752.4
C0003,8,1,1234.6,1056.1,2.538,2.306,58.5,1738.6
C0003,9,1,1223.8,1076.3,2.523,2.306,59.4,1775.5
C0003,10,1,1227.5,1067.3,2.564,2.306,56.5,1769.0
C0003,11,1,1228.2,1064.5,2.527,2.306,58.3,1782.1
C0003,12,1,1227.4,1072.1,2.546,2.3,57.9,1763.2
C0003,13,1,1228.4,1062.6,2.522,2.302,57.9,1762.0
C0003,14,1,1228.3,1059.8,2.544,2.299,56.6,1760.3
C0003,15,1,1235.7,1066.4,2.531,2.295,60.4,1752.7
C0003,16,1,1228.5,1062.3,2.528,2.296,57.9,1760.2
C0003,17,1,1223.5,1054.5,2.535,2.292,58.0,1765.2
C0003,18,1,1229.2,1074.1,2.547,2.306,59.4,1748.6
C0003,19,1,1228.3,1069.8,2.561,2.3,56.1,1758.4
C0003,20,1,1232.3,1065.6,2.531,2.291,60.8,1762.3
C0003,21,1,1228.4,1062.7,2.551,2.288,56.2,1753.9
C0003,22,1,1229.4,1077.7,2.538,2.306,56.1,1762.6
C0003,23,1,1233.0,1070.1,2.541,2.296,57.5,1777.0
C0003,24,1,1229.4,1066.5,2.526,2.298,58.7,1760.7
C0003,25,1,1228.6,1054.1,2.558,2.289,60.1,1766.0
C0003,26,1,1231.7,1058.1,2.569,2.291,57.5,1785.8
C0003,27,1,1226.0,1051.1,2.555,2.29,57.7,1762.3
C0003,28,1,1232.2,1058.6,2.53,2.304,57.8,1771.9
C0003,29,1,1234.6,1066.5,2.535,2.31,55.3,1749.8
C0003,30,1,1232.2,1055.3,2.526,2.308,58.5,1778.4
C0004,1,1,1232.2,1067.9,2.532,2.305,56.1,1759.6
C0004,2,1,1232.9,1064.8,2.518,2.291,59.1,1769.9
C0004,3,1,1233.3,1076.2,2.534,2.315,57.8,1744.5
C0004,4,1,1237.7,1075.4,2.536,2.295,56.0,1773.2
C0004,5,1,1231.5,1069.0,2.539,2.3,58.5,1757.1
C0004,6,1,1238.8,1073.3,2.519,2.299,58.3,1752.3
C0004,7,1,1242.1,1071.4,2.534,2.3,58.6,1773.0
C0004,8,1,1235.7,1065.0,2.528,2.309,59.1,1775.0
C0004,9,1,1238.3,1056.7,2.534,2.285,57.9,1782.7
C0004,10,1,1240.6,1070.5,2.543,2.291,58.3,1779.7
C0004,11,1,1234.1,1079.3,2.549,2.296,61.0,1775.1
C0004,12,1,1238.9,1059.0,2.524,2.305,58.3,1762.5
C0004,13,1,1238.5,1071.8,2.535,2.288,57.5,1788.7
C0004,14,1,1231.1,1082.9,2.532,2.29,58.3,1764.7
C0004,15,1,1236.8,1061.4,2.535,2.301,58.9,1747.7
C0004,16,1,1235.6,1079.1,2.541,2.3,59.0,1743.3
C0004,17,1,1235.8,1079.7,2.547,2.308,59.1,1780.3
C0004,18,1,1233.6,1084.4,2.536,2.305,60.6,1762.5
C0004,19,1,1232.7,1072.6,2.547,2.297,59.5,1782.3
C0004,20,1,1231.1,1073.1,2.523,2.296,58.6,1757.0
C0004,21,1,1235.2,1063.3,2.544,2.3,58.2,1754.9
C0004,22,1,1239.3,1075.8,2.511,2.312,57.9,1759.5
C0004,23,1,1233.2,1074.2,2.546,2.301,59.6,1777.8
C0004,24,1,1236.3,1079.5,2.534,2.29,58.5,1772.7
C0004,25,1,1236.6,1060.5,2.513,2.289,55.8,1773.7
C0004,26,1,1239.5,1063.2,2.529,2.295,56.2,1752.0
C0004,27,1,1238.0,1082.8,2.524,2.308,59.5,1745.2
C0004,28,1,1232.9,1066.4,2.553,2.294,58.8,1768.1
C0004,29,1,1233.5,1073.3,2.537,2.302,57.1,1786.6
