시점,사이클타임,실린더압력,주조압력,형체력
1,20.7,214.0,1037.0,258.0
2,20.6,214.0,1038.0,255.0
3,20.9,218.0,1053.0,259.0
4,20.9,218.0,1054.0,257.0
5,20.8,214.0,1038.0,255.0
6,20.9,214.0,1037.0,257.0
7,20.8,218.0,1053.0,257.0
8,20.9,217.0,1052.0,258.0
9,20.8,218.0,1053.0,257.0
10,20.9,217.0,1052.0,258.0
11,20.9,215.0,1040.0,254.0
12,20.7,218.0,1054.0,258.0
13,20.7,214.0,1037.0,258.0
14,20.8,217.0,1052.0,255.0
15,20.6,217.0,1051.0,258.0
16,20.8,214.0,1038.0,255.0
17,20.7,214.0,1038.0,258.0
18,21.2,215.0,1040.0,254.0
19,21.1,215.0,1040.0,258.0
20,21.4,218.0,1057.0,258.0
21,21.3,215.0,1041.0,253.0
22,22.6,239.0,1155.0,258.0
23,22.6,238.0,1154.0,258.0
24,22.4,239.0,1156.0,258.0
25,37.0,265.0,595.0,357.0
26,34.0,264.0,594.0,357.0
27,33.9,264.0,595.0,355.0
28,33.8,265.0,596.0,355.0
29,33.9,265.0,596.0,352.0
30,34.0,265.0,595.0,361.0
31,36.1,265.0,596.0,373.0
32,36.1,265.0,596.0,377.0
33,36.0,265.0,596.0,379.0
34,35.8,265.0,596.0,372.0
35,36.0,265.0,595.0,373.0
36,35.9,265.0,597.0,364.0
37,35.8,265.0,596.0,379.0
38,35.9,264.0,595.0,379.0
39,36.1,265.0,595.0,381.0
40,36.1,265.0,596.0,382.0
41,36.0,265.0,596.0,359.0
42,36.2,265.0,596.0,382.0
43,652.3,108.0,522.0,222.0
44,21.3,218.0,1056.0,259.0
45,21.6,109.0,525.0,255.0
46,91.2,238.0,1152.0,254.0
47,38.1,114.0,256.0,363.0
48,1885.3,113.0,255.0,350.0
49,36.1,264.0,595.0,372.0
50,6170.0,108.0,525.0,237.0
