샷,설비ID,실린더압력,주조압력,사이클타임,비스킷두께,형체력,품질등급
101,DIE-A-02,,,,,,양품
102,DIE-A-01,,,,,,양품
103,DIE-A-01,,,,,,양품
104,DIE-C-01,,,,,,양품
105,DIE-A-01,,,,,,양품
106,DIE-A-02,239.0,1159.0,22.7,14.0,254.0,양품
107,DIE-A-02,239.0,1155.0,20.7,13.0,254.0,양품
108,DIE-B-01,239.0,1157.0,23.7,13.0,253.0,양품
109,DIE-A-01,264.0,594.0,36.4,18.0,363.0,양품
110,DIE-A-02,265.0,596.0,36.6,17.0,352.0,양품
111,DIE-A-02,264.0,595.0,37.0,18.0,361.0,양품
112,DIE-B-02,265.0,595.0,36.9,17.0,355.0,양품
113,DIE-A-01,264.0,594.0,33.9,16.0,363.0,양품
114,DIE-A-02,264.0,594.0,34.0,13.0,355.0,양품
115,DIE-A-02,265.0,596.0,34.1,16.0,357.0,양품
116,DIE-C-01,265.0,595.0,34.0,17.0,355.0,양품
117,DIE-B-01,264.0,595.0,34.0,17.0,355.0,양품
118,DIE-A-02,264.0,595.0,33.9,16.0,355.0,양품
119,DIE-B-01,264.0,595.0,33.9,17.0,357.0,양품
120,DIE-A-02,264.0,594.0,33.9,18.0,357.0,양품
121,DIE-A-01,265.0,596.0,33.9,19.0,354.0,주의
122,DIE-B-01,264.0,595.0,33.7,15.0,364.0,양품
123,DIE-C-01,265.0,596.0,33.7,19.0,357.0,주의
124,DIE-B-02,265.0,595.0,33.9,19.0,359.0,주의
125,DIE-A-01,265.0,595.0,33.8,19.0,355.0,주의
126,DIE-B-01,264.0,595.0,33.8,18.0,350.0,양품
127,DIE-B-02,263.0,591.0,33.9,13.0,361.0,양품
128,DIE-A-01,265.0,595.0,34.0,17.0,366.0,양품
129,DIE-B-01,263.0,592.0,34.0,18.0,363.0,양품
130,DIE-A-02,265.0,596.0,33.9,16.0,368.0,양품
131,DIE-A-01,265.0,596.0,34.0,14.0,361.0,양품
132,DIE-A-02,265.0,596.0,33.9,15.0,372.0,양품
133,DIE-A-01,265.0,596.0,35.0,19.0,373.0,주의
134,DIE-A-02,263.0,593.0,36.2,15.0,372.0,양품
135,DIE-A-01,265.0,597.0,36.1,18.0,372.0,양품
136,DIE-A-02,265.0,595.0,36.0,19.0,377.0,주의
137,DIE-A-01,265.0,596.0,36.0,17.0,375.0,양품
138,DIE-B-02,265.0,595.0,35.9,17.0,375.0,양품
139,DIE-B-01,265.0,596.0,36.0,17.0,377.0,양품
140,DIE-A-01,265.0,595.0,36.0,15.0,377.0,양품
141,DIE-B-02,265.0,596.0,36.0,16.0,377.0,양품
142,DIE-A-01,265.0,596.0,35.9,17.0,381.0,양품
143,DIE-A-02,265.0,595.0,36.0,17.0,381.0,양품
144,DIE-B-01,265.0,596.0,36.0,18.0,377.0,양품
145,DIE-A-02,265.0,596.0,36.1,13.0,377.0,양품
146,DIE-A-02,265.0,597.0,36.0,17.0,377.0,양품
147,DIE-A-02,263.0,592.0,125.9,19.0,372.0,주의
148,DIE-A-01,265.0,596.0,36.0,17.0,375.0,양품
149,DIE-B-02,265.0,596.0,36.0,19.0,377.0,주의
150,DIE-A-01,265.0,596.0,36.1,19.0,350.0,주의
151,DIE-B-02,265.0,596.0,36.0,17.0,373.0,양품
152,DIE-A-01,265.0,595.0,35.9,19.0,381.0,주의
153,DIE-A-02,265.0,595.0,36.0,19.0,352.0,주의
154,DIE-A-02,265.0,596.0,36.0,18.0,363.0,양품
155,DIE-A-01,265.0,595.0,35.8,19.0,363.0,주의
156,DIE-A-01,265.0,596.0,35.7,19.0,364.0,주의
157,DIE-A-02,265.0,595.0,35.9,16.0,352.0,양품
158,DIE-A-02,264.0,594.0,35.6,16.0,373.0,양품
159,DIE-B-02,265.0,597.0,35.8,16.0,377.0,양품
160,DIE-C-01,264.0,595.0,35.8,18.0,381.0,양품
161,DIE-A-01,265.0,595.0,35.8,18.0,381.0,양품
162,DIE-B-01,265.0,596.0,36.0,17.0,381.0,양품
163,DIE-A-01,264.0,595.0,36.0,17.0,382.0,양품
164,DIE-B-02,265.0,595.0,35.8,19.0,379.0,주의
165,DIE-A-02,265.0,596.0,35.8,18.0,379.0,양품
166,DIE-C-01,265.0,596.0,35.7,18.0,379.0,양품
167,DIE-B-01,264.0,595.0,35.9,18.0,382.0,양품
168,DIE-A-01,265.0,596.0,36.0,19.0,379.0,주의
169,DIE-A-01,265.0,596.0,36.1,18.0,382.0,양품
170,DIE-A-01,265.0,596.0,36.1,18.0,382.0,양품
171,DIE-B-02,265.0,596.0,36.1,20.0,370.0,주의
172,DIE-A-01,265.0,595.0,36.1,17.0,384.0,양품
173,DIE-A-02,265.0,595.0,36.1,17.0,366.0,양품
174,DIE-A-02,265.0,596.0,36.1,17.0,357.0,양품
175,DIE-A-02,265.0,595.0,36.0,18.0,357.0,양품
176,DIE-B-02,265.0,596.0,36.0,17.0,359.0,양품
177,DIE-A-01,264.0,595.0,36.0,17.0,361.0,양품
178,DIE-B-02,264.0,595.0,36.0,17.0,355.0,양품
179,DIE-B-01,265.0,595.0,36.1,16.0,372.0,양품
180,DIE-C-01,265.0,596.0,36.2,18.0,382.0,양품
181,DIE-B-01,108.0,522.0,652.3,14.0,222.0,불량
182,DIE-C-01,214.0,1036.0,93.1,12.0,247.0,불량
183,DIE-A-02,215.0,1041.0,21.3,4.0,258.0,불량
184,DIE-B-01,216.0,1044.0,21.2,11.0,259.0,불량
185,DIE-B-01,219.0,1058.0,21.3,2.0,255.0,불량
186,DIE-B-02,218.0,1054.0,21.4,2.0,253.0,불량
187,DIE-C-01,108.0,524.0,22.9,14.0,247.0,불량
188,DIE-A-01,,,,,,불량
189,DIE-A-01,,,,,,불량
190,DIE-B-01,,,,,,불량
191,DIE-B-02,238.0,1152.0,91.2,13.0,254.0,불량
192,DIE-B-01,113.0,255.0,36.9,26.0,366.0,불량
193,DIE-A-02,264.0,594.0,36.9,19.0,355.0,불량
194,DIE-C-01,113.0,255.0,34.4,19.0,370.0,불량
195,DIE-A-02,260.0,585.0,33.9,19.0,348.0,불량
196,DIE-A-01,264.0,594.0,76.3,19.0,381.0,불량
197,DIE-A-01,265.0,595.0,36.2,20.0,355.0,불량
198,DIE-A-01,113.0,255.0,36.6,27.0,354.0,불량
199,DIE-B-02,264.0,595.0,36.1,19.0,372.0,불량
200,DIE-A-01,108.0,525.0,6170.0,15.0,237.0,불량
