샷,설비ID,실린더압력,주조압력,사이클타임,비스킷두께,형체력,품질등급
1,DIE-B-02,214.0,1037.0,20.7,10.0,258.0,양품
2,DIE-C-01,217.0,1052.0,20.7,11.0,257.0,양품
3,DIE-A-02,215.0,1040.0,20.7,21.0,253.0,주의
4,DIE-B-01,214.0,1037.0,20.8,11.0,254.0,양품
5,DIE-C-01,108.0,522.0,652.3,14.0,222.0,불량
6,DIE-A-02,217.0,1052.0,20.6,11.0,253.0,양품
7,DIE-B-02,217.0,1052.0,20.6,11.0,254.0,양품
8,DIE-C-01,235.0,1137.0,22.5,7.0,255.0,주의
9,DIE-B-01,217.0,1052.0,20.6,11.0,257.0,양품
10,DIE-C-01,214.0,1036.0,93.1,12.0,247.0,불량
11,DIE-A-01,215.0,1038.0,20.9,11.0,250.0,양품
12,DIE-C-01,215.0,1038.0,20.9,11.0,258.0,양품
13,DIE-A-02,265.0,596.0,33.9,19.0,354.0,주의
14,DIE-B-02,215.0,1039.0,20.9,11.0,258.0,양품
15,DIE-C-01,215.0,1041.0,21.3,4.0,258.0,불량
16,DIE-A-01,218.0,1053.0,20.8,12.0,257.0,양품
17,DIE-A-02,218.0,1054.0,21.0,11.0,258.0,양품
18,DIE-A-02,265.0,596.0,33.7,19.0,357.0,주의
19,DIE-A-02,214.0,1038.0,20.8,11.0,257.0,양품
20,DIE-A-01,216.0,1044.0,21.2,11.0,259.0,불량
21,DIE-C-01,214.0,1037.0,20.8,11.0,257.0,양품
22,DIE-B-01,218.0,1053.0,20.9,11.0,257.0,양품
23,DIE-B-01,265.0,595.0,33.9,19.0,359.0,주의
24,DIE-A-01,214.0,1037.0,20.8,12.0,255.0,양품
25,DIE-A-02,219.0,1058.0,21.3,2.0,255.0,불량
26,DIE-A-01,218.0,1055.0,20.9,11.0,255.0,양품
27,DIE-C-01,217.0,1051.0,20.9,12.0,257.0,양품
28,DIE-C-01,265.0,595.0,33.8,19.0,355.0,주의
29,DIE-B-02,218.0,1055.0,20.7,11.0,255.0,양품
30,DIE-A-02,218.0,1054.0,21.4,2.0,253.0,불량
