측정시각,불량여부,센서01,센서02,센서03,센서04,센서05,센서06,센서07,센서08,센서09,센서10,센서11,센서12,센서13,센서14,센서15,센서16,센서17,센서18,센서19,센서20
19/07/2008 11:55:00,0,1.5,0.016,-0.003,0.946,202.44,0.0,7.956,414.871,,3030.93,0.0,3.275,0.41,1.062,5.735,0.183,,,,
19/07/2008 12:32:00,0,1.497,-0.0,-0.015,0.963,200.547,0.0,10.155,414.735,208.204,3095.78,0.0,2.809,0.35,1.353,7.12,0.283,,,0.02,0.006
19/07/2008 13:17:00,1,1.444,0.004,0.001,0.962,202.018,0.0,9.516,416.708,82.86,2932.61,0.0,3.748,0.47,0.794,7.162,0.086,485.266,0.412,0.048,0.015
19/07/2008 14:43:00,0,1.488,-0.012,-0.003,0.963,201.848,0.0,9.605,422.289,73.843,2988.72,0.0,2.805,0.35,1.165,56.93,0.681,464.974,2.729,0.015,0.004
19/07/2008 15:22:00,0,1.503,-0.003,-0.007,0.957,201.942,0.0,10.566,420.592,73.843,3032.24,0.0,3.447,0.43,1.464,9.761,0.429,,,,
19/07/2008 17:53:00,0,1.529,0.017,0.006,0.97,200.472,0.0,8.662,414.243,44.008,2946.25,0.0,3.602,0.45,1.271,7.245,0.533,,1.87,0.015,0.005
19/07/2008 19:44:00,0,1.582,-0.027,0.01,0.959,202.09,0.0,9.035,415.885,44.008,3030.27,0.0,2.809,0.35,0.505,5.471,0.069,,,,
19/07/2008 19:45:00,0,1.515,0.016,0.001,0.948,202.417,0.0,13.687,408.402,95.031,3058.88,0.0,3.832,0.48,0.617,6.479,0.185,,2.935,0.019,0.006
19/07/2008 20:24:00,0,1.536,0.011,-0.007,0.949,202.454,0.0,12.684,417.601,111.652,2967.68,0.0,3.832,0.48,0.671,8.21,0.153,,2.368,0.012,0.004
19/07/2008 21:35:00,0,1.538,0.016,0.005,0.944,202.6,0.0,12.428,413.368,90.229,3016.11,0.0,3.832,0.48,0.907,6.509,0.31,,2.654,0.019,0.007
19/07/2008 21:57:00,1,1.514,-0.019,0.001,0.943,201.712,0.0,11.857,411.957,57.812,2994.05,0.0,3.69,0.46,0.752,7.888,0.093,466.082,3.482,0.02,0.007
19/07/2008 22:52:00,1,1.469,0.017,-0.015,0.944,202.126,0.0,9.108,419.902,75.508,2928.84,0.0,3.832,0.48,1.299,7.152,0.346,,1.257,0.028,0.008
20/07/2008 03:35:00,0,1.531,-0.026,0.022,0.96,202.127,0.0,8.483,415.518,52.204,2920.07,0.0,3.221,0.4,1.837,8.533,0.347,469.54,,0.01,0.003
21/07/2008 08:21:00,0,1.524,-0.021,-0.003,0.944,226.009,0.0,9.769,409.888,52.204,3051.44,0.0,118.753,12.71,0.867,7.155,0.044,,1.749,,
21/07/2008 11:53:00,1,1.447,0.014,-0.012,0.958,195.379,0.0,9.756,422.368,142.908,2963.97,0.0,3.853,0.48,1.062,6.302,0.322,467.653,,0.029,0.008
22/07/2008 00:03:00,0,1.546,0.025,-0.002,0.962,192.979,0.0,12.436,424.754,100.274,2988.31,0.0,2.969,0.37,0.751,7.826,0.066,464.286,,0.017,0.004
22/07/2008 02:59:00,0,1.437,0.015,-0.004,0.962,195.174,0.0,12.18,428.983,82.099,3028.02,0.0,3.928,0.49,1.211,7.02,0.35,468.481,1.948,0.015,0.004
22/07/2008 08:41:00,0,1.554,0.022,-0.003,0.961,195.342,0.0,10.0,420.473,82.099,3032.73,0.0,3.928,0.49,,,,469.221,0.8,,
22/07/2008 11:47:00,0,1.548,-0.037,0.001,0.963,196.275,0.0,8.406,409.14,82.099,3040.34,0.0,3.594,0.45,1.74,6.18,0.162,468.316,1.319,,
22/07/2008 14:00:00,0,1.536,-0.026,-0.018,0.961,197.179,0.0,13.342,404.567,47.159,2988.3,0.0,2.786,0.35,1.46,8.169,0.485,464.736,,0.011,0.003
22/07/2008 15:30:00,0,1.634,-0.026,0.012,0.959,200.826,0.0,11.922,414.306,47.159,2987.32,0.0,3.928,0.49,0.756,6.109,0.116,468.132,1.358,,
23/07/2008 05:15:00,0,1.556,0.0,-0.004,0.962,196.632,0.0,13.626,410.695,34.415,,0.0,3.928,0.49,1.506,10.898,0.277,467.252,1.426,0.006,0.002
23/07/2008 19:22:00,0,1.546,0.02,-0.011,0.949,199.639,0.0,15.435,418.248,114.598,3002.27,0.0,3.928,0.49,1.798,6.91,0.129,465.523,2.51,0.029,0.008
25/07/2008 15:23:00,1,1.558,-0.032,-0.014,0.964,196.184,0.0,11.623,434.794,216.887,2884.74,0.0,3.928,0.49,0.74,7.746,0.188,467.606,,0.021,0.008
27/07/2008 04:18:00,0,1.423,0.019,0.007,0.976,199.018,0.0,4.704,406.742,125.06,3010.41,0.0,2.783,0.35,0.647,8.983,0.226,466.13,,0.036,0.01
27/07/2008 09:37:00,0,1.514,0.002,0.006,0.958,205.992,0.0,10.661,413.153,125.06,2979.74,0.0,4.428,0.55,0.637,8.791,0.275,468.128,1.876,,
27/07/2008 11:10:00,0,1.486,-0.002,-0.006,0.959,206.403,0.0,14.814,419.091,125.06,3067.35,0.0,4.428,0.55,,,,463.069,2.739,,
27/07/2008 15:46:00,0,1.558,-0.01,0.02,0.957,199.608,0.0,5.769,405.888,216.955,2988.99,0.0,2.817,0.35,0.845,5.289,0.122,467.285,3.925,0.04,0.012
27/07/2008 16:06:00,0,1.544,0.006,0.003,0.959,206.444,0.0,11.308,403.428,127.507,2972.78,0.0,3.268,0.41,0.845,6.023,0.175,459.38,2.548,0.016,0.005
27/07/2008 16:49:00,0,1.42,-0.002,0.014,0.962,198.72,0.0,6.872,414.152,146.872,2981.85,0.0,3.268,0.41,1.397,9.239,0.353,465.977,1.435,0.018,0.006
27/07/2008 20:24:00,0,1.448,-0.013,0.018,0.952,199.66,0.0,7.4,422.941,81.546,2975.88,0.0,4.428,0.55,0.556,7.666,0.137,465.104,,0.017,0.006
27/07/2008 22:28:00,0,1.56,0.004,-0.006,0.96,206.515,0.0,11.399,417.389,197.995,3058.61,0.0,3.268,0.41,1.54,9.544,0.69,465.83,3.023,0.016,0.005
27/07/2008 22:28:00,0,1.584,-0.027,-0.003,0.958,199.472,0.0,11.665,414.221,197.995,3047.19,0.0,4.428,0.55,1.701,8.253,0.555,469.459,0.431,,
27/07/2008 23:14:00,0,1.505,-0.022,0.006,0.972,199.298,0.0,9.594,417.114,197.995,2981.31,,3.138,0.39,0.69,7.637,0.187,468.217,3.531,,
28/07/2008 03:31:00,0,1.537,-0.018,0.017,0.976,199.58,0.0,7.203,419.312,74.156,2963.83,0.0,3.268,0.41,0.593,7.016,0.138,464.246,3.094,0.02,0.007
28/07/2008 03:48:00,0,1.348,-0.015,0.012,0.952,200.107,0.0,4.525,400.754,74.156,3040.72,0.0,4.073,0.5,0.587,6.368,0.18,462.647,4.116,,
28/07/2008 04:37:00,0,1.532,-0.019,0.009,0.961,199.281,0.0,7.476,422.068,56.822,2989.47,0.0,2.817,0.35,1.272,8.133,0.453,468.643,,0.016,0.005
28/07/2008 05:36:00,0,1.44,-0.016,0.021,0.965,199.661,0.0,5.804,410.41,152.682,2981.54,0.0,2.817,0.35,0.651,9.064,0.228,467.584,2.513,0.016,0.004
28/07/2008 06:45:00,1,1.478,-0.013,0.008,0.966,199.666,0.0,5.497,409.984,100.728,2958.09,0.0,3.022,0.38,1.045,38.421,0.543,468.556,,0.015,0.005
28/07/2008 08:36:00,0,1.534,0.01,-0.001,0.96,200.166,0.0,5.287,420.173,100.728,3017.21,0.0,3.049,0.38,0.78,10.414,0.139,466.3,,,
28/07/2008 15:11:00,1,1.542,-0.018,0.014,0.969,198.73,0.0,6.44,417.85,45.426,2962.14,0.0,3.268,0.41,0.725,8.74,0.146,472.914,1.684,0.009,0.003
28/07/2008 23:57:00,0,1.465,-0.001,0.014,0.953,200.098,0.0,5.791,403.637,73.882,3017.1,0.0,4.428,0.55,,,,465.261,1.34,0.016,0.006
29/07/2008 04:08:00,0,1.504,0.008,0.009,0.954,199.888,0.0,5.109,406.99,171.852,3021.26,0.0,4.428,0.55,1.881,8.092,0.322,465.497,1.482,0.03,0.009
29/07/2008 05:16:00,0,1.534,-0.021,0.007,0.962,193.987,0.0,5.502,407.323,83.056,3000.36,0.0,11.225,1.38,0.626,8.785,0.268,466.887,,0.03,0.01
