측정시각,설비명,온도,압력,진동,가동시간,불량여부
2024-03-01 09:00,프레스1,72.4,5.2,3.1,120,0
2024-03-01 10:00,프레스1,73.1,5.3,3.0,121,0
2024-03-01 11:00,프레스1,,5.1,2.9,122,0
2024-03-01 12:00,프레스1,74.0,0.0,3.2,123,1
2024-03-01 13:00,프레스2,68.9,4.8,-999.0,80,0
2024-03-01 14:00,프레스2,69.5,4.9,2.5,81,0
2024-03-01 15:00,프레스2,70.2,,2.6,82,0
2024-03-01 16:00,,71.0,5.0,2.7,83,0
2024-03-01 17:00,프레스2,999.0,5.1,2.8,84,1
2024-03-02 09:00,절삭기A,65.3,6.1,4.0,200,0
2024-03-02 10:00,절삭기A,66.0,6.2,-999.0,201,0
2024-03-02 11:00,절삭기A,66.8,0.0,4.2,202,1
2024-03-02 12:00,절삭기A,,6.0,4.1,203,0
2024-03-02 13:00,절삭기B,64.1,5.9,3.8,150,0
2024-03-02 14:00,절삭기B,64.8,6.0,3.9,151,0
2024-03-02 15:00,절삭기B,65.2,5.8,,152,0
