설비라인,온도,압력,진동,전류,습도,판정
B라인,76.83,102.19,3.1,14.73,34.42,양품
B라인,68.76,102.54,1.55,12.67,41.11,양품
B라인,79.5,100.18,2.93,15.81,48.36,양품
B라인,80.64,105.22,2.57,14.05,44.18,불량
B라인,63.29,101.19,5.007314206524525,11.96,39.8,불량
B라인,67.19,108.65,1.64,13.6,39.61,양품
A라인,75.77,,2.32,14.85,39.3,양품
A라인,73.1,97.75,2.76,14.22,37.96,양품
A라인,74.9,101.52,2.6,12.3,63.25,양품
A라인,69.88,98.84,2.75,13.92,47.38,양품
C라인,80.28,98.25,3.08,13.6,52.09,불량
B라인,79.67,101.79,2.79,14.8,41.09,불량
A라인,75.4,102.91,3.03,12.62,43.51,불량
C라인,81.76,98.42,2.89,15.26,39.29,불량
B라인,77.81,103.84,2.83,13.53,23.79,양품
A라인,69.84,105.55,2.04,12.1,33.98,양품
A라인,77.21,105.28,2.53,14.98,30.52,양품
A라인,69.25,103.75,1.87,13.55,27.0,양품
B라인,80.27,104.6,3.01,14.02,35.44,불량
A라인,74.7,95.7,1.97,15.42,55.6,불량
A라인,73.89,100.51,2.62,13.43,44.64,양품
A라인,70.91,99.31,2.13,13.54,55.32,양품
B라인,82.34,100.56,3.18,15.15,48.29,양품
A라인,74.07,99.72,2.62,13.27,51.26,불량
C라인,72.43,101.19,6.360355332211091,14.16,37.79,양품
A라인,72.89,107.26,2.55,13.21,49.19,양품
B라인,78.19,100.31,2.01,13.97,50.83,양품
B라인,77.19,102.21,2.49,15.63,40.39,불량
B라인,77.48,100.23,2.11,13.26,49.48,양품
A라인,77.58,101.14,2.35,11.9,49.53,양품
C라인,87.85,99.39,3.57,17.15,40.6,불량
C라인,72.56,103.01,2.5,16.26,36.02,양품
A라인,71.93,105.26,2.0,13.23,35.53,양품
A라인,70.12,106.97,1.8,11.48,45.69,양품
C라인,78.7,101.67,2.6,14.13,47.62,양품
B라인,81.77,102.05,2.31,14.53,38.66,양품
A라인,74.32,97.95,2.13,13.73,45.21,양품
A라인,69.96,101.79,2.26,12.28,49.56,양품
B라인,70.05,104.86,2.56,13.99,49.95,불량
B라인,78.9,103.31,2.81,14.99,57.42,양품
B라인,79.46,101.27,1.82,13.04,55.22,양품
C라인,78.26,103.47,2.67,15.09,36.99,불량
B라인,71.01,103.37,2.23,15.57,58.47,불량
A라인,76.39,104.69,2.61,14.34,40.75,양품
B라인,75.7,102.06,3.0,13.75,53.36,양품
A라인,76.31,100.04,1.74,14.02,45.54,불량
A라인,80.23,101.52,2.45,15.24,41.7,양품
A라인,76.34,92.31,2.67,12.43,30.54,양품
A라인,79.07,101.84,2.05,14.65,43.63,양품
B라인,75.41,90.29,2.94,13.66,32.52,불량
A라인,76.73,95.87,2.62,16.06,52.74,불량
B라인,78.79,102.09,2.89,14.28,,양품
B라인,66.26,104.04,1.76,14.62,,양품
B라인,73.08,98.1,2.59,12.67,47.42,양품
C라인,72.18,99.59,2.63,14.25,39.2,양품
C라인,71.17,105.99,2.29,13.86,39.97,양품
B라인,73.35,100.1,2.4,12.93,51.2,양품
A라인,83.97,106.68,2.94,15.25,44.69,불량
B라인,69.81,102.07,1.84,14.59,58.92,양품
B라인,80.81,101.65,2.64,14.37,41.14,양품
A라인,64.9,107.67,1.84,11.1,52.99,양품
A라인,72.99,101.99,2.43,13.74,45.78,양품
A라인,75.98,98.15,2.8,13.21,51.37,양품
B라인,78.52,100.44,2.21,14.08,41.42,불량
B라인,79.27,100.55,2.57,14.43,44.6,양품
A라인,79.76,96.49,3.16,12.87,44.08,불량
C라인,72.91,100.85,2.04,12.13,38.31,양품
C라인,72.23,99.49,1.97,14.15,,양품
A라인,80.15,103.3,2.73,14.1,,불량
C라인,73.85,101.58,2.64,11.3,49.75,양품
A라인,67.35,101.6,2.02,13.87,57.3,양품
C라인,68.2,102.0,2.53,13.46,,양품
C라인,69.48,102.8,2.42,12.62,42.0,양품
A라인,77.98,102.7,2.84,13.04,47.98,불량
C라인,75.85,98.17,2.64,14.94,40.01,불량
C라인,79.14,97.55,3.42,14.85,45.19,불량
C라인,72.44,105.0,2.2,16.07,40.2,양품
C라인,75.95,99.92,1.75,14.53,57.96,양품
B라인,78.75,96.49,3.15,14.84,,불량
A라인,73.14,102.91,2.15,13.61,43.26,양품
C라인,77.74,102.28,2.57,15.15,54.55,양품
B라인,71.03,97.3,2.66,14.15,27.64,불량
B라인,72.82,102.32,1.73,14.99,28.89,양품
B라인,72.71,103.85,1.85,13.2,51.37,양품
B라인,67.82,103.5,1.48,12.7,45.48,양품
A라인,77.92,102.76,2.27,13.87,47.0,불량
B라인,72.18,97.51,2.41,14.45,34.39,양품
A라인,75.07,102.28,2.59,15.51,44.81,양품
B라인,77.88,99.96,2.64,13.89,61.03,양품
C라인,77.68,99.45,2.04,13.9,51.59,양품
B라인,78.99,103.31,1.79,14.79,46.36,불량
B라인,74.41,105.83,2.39,13.68,41.49,양품
A라인,72.46,107.06,2.11,14.65,41.84,양품
C라인,74.52,105.32,2.54,11.69,27.97,양품
B라인,64.88,102.49,2.14,11.96,,양품
A라인,66.32,103.66,2.01,12.18,51.76,양품
A라인,67.06,104.79,2.27,10.73,32.4,양품
A라인,69.02,102.56,2.18,12.32,,양품
B라인,77.4,101.33,2.71,13.37,35.74,양품
C라인,69.57,104.59,1.88,13.15,37.28,양품
B라인,72.73,101.46,2.22,14.84,,양품
A라인,82.8,97.94,2.86,14.69,28.32,양품
C라인,72.86,100.38,2.58,12.71,49.91,양품
A라인,79.43,102.54,2.48,14.47,,양품
C라인,69.4,102.15,2.3,14.38,42.99,양품
A라인,73.77,102.51,2.25,12.88,25.15,양품
B라인,69.3,104.17,2.07,12.41,37.03,양품
C라인,72.97,100.48,2.59,14.31,54.86,불량
A라인,80.04,102.81,1.95,14.38,22.78,양품
B라인,64.64,103.99,1.43,13.4,42.22,양품
C라인,77.61,97.2,2.01,14.3,35.56,양품
A라인,76.43,105.41,1.65,14.87,51.44,양품
A라인,71.44,100.33,1.98,12.54,39.6,양품
B라인,66.32,97.64,2.23,12.95,48.23,양품
A라인,75.43,98.1,2.32,13.84,49.52,양품
A라인,71.82,98.71,2.31,12.4,,양품
B라인,76.4,101.25,2.85,12.6,43.38,양품
C라인,75.13,100.46,2.87,14.7,48.01,양품
A라인,84.61,98.85,2.86,14.8,33.12,불량
A라인,73.56,103.37,2.8,12.81,54.52,양품
C라인,68.86,103.24,2.13,13.17,38.92,양품
B라인,76.08,102.09,2.16,15.26,40.51,양품
C라인,76.32,102.33,2.26,11.88,44.82,양품
B라인,83.16,101.93,2.29,13.48,32.5,양품
C라인,80.01,94.22,2.34,13.68,,양품
B라인,77.14,99.89,2.38,15.72,52.74,양품
A라인,83.78,93.44,3.12,15.34,47.34,양품
C라인,67.87,102.48,2.65,13.91,32.29,양품
B라인,71.16,101.86,1.72,12.4,44.01,양품
A라인,69.44,105.27,2.26,12.21,50.94,양품
A라인,72.66,105.21,1.92,14.17,29.98,양품
B라인,66.74,103.15,2.15,13.07,36.4,양품
A라인,78.81,99.23,2.54,15.01,52.01,양품
A라인,73.67,102.96,1.69,13.65,47.16,양품
A라인,66.18,101.04,2.28,13.22,48.3,양품
B라인,68.91,102.21,1.88,13.43,59.88,양품
B라인,76.88,103.98,2.31,15.0,,양품
B라인,80.03,98.87,2.28,15.41,50.26,양품
A라인,86.98,101.92,2.77,13.82,66.69,불량
A라인,92.48,100.71,3.42,13.85,43.29,양품
B라인,77.49,,2.46,15.3,38.62,양품
A라인,69.06,105.11,2.22,14.48,48.42,양품
B라인,62.21,105.31,1.89,11.44,48.51,불량
A라인,76.61,101.36,7.5260099579192605,12.33,40.79,불량
A라인,70.12,99.74,2.04,13.51,36.74,양품
A라인,72.51,,1.76,14.63,63.48,양품
B라인,71.33,100.24,2.59,15.36,47.61,양품
A라인,74.16,103.05,2.24,14.41,39.14,불량
C라인,81.4,97.47,3.11,14.4,52.33,불량
A라인,75.94,102.47,2.58,13.22,44.13,양품
B라인,74.05,97.72,2.31,13.9,42.98,불량
B라인,68.79,101.62,2.21,12.96,49.5,양품
A라인,64.95,103.14,2.58,11.78,34.66,양품
B라인,72.08,109.07,2.98,15.7,47.82,불량
A라인,74.68,97.22,2.41,15.75,60.3,양품
B라인,85.61,104.12,2.99,16.41,48.73,불량
A라인,75.78,101.63,2.82,13.17,41.99,양품
C라인,80.9,101.65,2.4,15.56,40.94,양품
C라인,72.0,102.1,2.37,14.28,41.72,양품
A라인,67.89,103.7,2.04,13.59,42.97,양품
B라인,69.21,101.71,2.22,14.55,41.98,양품
C라인,70.65,106.31,1.89,14.11,52.33,양품
A라인,87.77,98.01,2.48,16.27,31.13,불량
C라인,70.07,105.44,1.43,14.05,51.9,양품
B라인,80.03,98.61,2.26,14.94,41.96,불량
C라인,69.58,101.93,1.97,11.57,48.02,양품
C라인,80.59,97.25,2.58,14.75,35.98,양품
A라인,77.31,102.32,3.19,13.72,55.63,양품
B라인,74.06,105.78,2.74,12.61,54.97,양품
B라인,74.76,101.1,2.05,15.65,52.68,양품
A라인,71.07,101.3,2.33,15.26,32.88,양품
A라인,77.68,97.55,2.39,15.68,51.63,양품
C라인,72.27,101.02,2.16,13.93,48.24,양품
A라인,67.65,97.62,6.204325406608854,14.47,32.16,불량
B라인,67.33,99.71,2.23,13.09,44.81,양품
C라인,76.04,101.83,2.33,14.33,47.92,양품
A라인,84.47,103.84,3.25,14.04,49.45,불량
B라인,75.96,109.58,2.05,14.51,46.42,양품
C라인,74.29,99.65,2.37,13.97,47.33,불량
B라인,76.71,105.35,3.39,12.9,56.79,양품
A라인,82.84,100.86,2.87,14.89,54.81,양품
A라인,76.32,100.65,2.97,14.08,22.06,양품
C라인,72.53,102.97,2.31,15.5,42.46,양품
A라인,81.64,100.49,2.94,15.69,43.68,불량
B라인,77.57,,2.51,14.32,30.98,불량
