unit_nr,time_cycles,setting_1,setting_2,setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
1,1,0.001,-0.0,100.0,518.67,641.17,1589.63,1399.16,14.62,21.6,554.91,2388.04,9046.36,1.3,47.28,520.73,2387.98,8132.98,8.344,0.03,391,2388,100.0,38.85,23.2468
1,2,0.0006,-0.0003,100.0,518.67,640.66,1589.52,1399.28,14.62,21.6,553.06,2387.98,9051.12,1.3,47.06,521.11,2387.97,8126.66,8.385,0.03,394,2388,100.0,38.89,23.2419
1,3,0.0016,-0.0004,100.0,518.67,641.08,1579.31,1394.97,14.62,21.6,554.32,2388.01,9049.42,1.3,47.18,520.15,2387.97,8124.71,8.436,0.03,392,2388,100.0,38.74,23.3084
1,4,-0.0008,-0.0002,100.0,518.67,641.18,1588.34,1404.1,14.62,21.6,553.65,2388.02,9058.26,1.3,47.16,520.76,2387.95,8115.96,8.43,0.03,393,2388,100.0,38.88,23.3398
1,5,0.0007,-0.0002,100.0,518.67,641.13,1589.93,1400.33,14.62,21.6,552.22,2388.05,9051.27,1.3,47.19,520.86,2387.91,8127.75,8.417,0.03,393,2388,100.0,38.84,23.2466
1,6,-0.001,0.0003,100.0,518.67,641.13,1583.79,1402.62,14.62,21.6,554.33,2387.97,9048.07,1.3,47.18,520.05,2388.02,8133.6,8.408,0.03,392,2388,100.0,38.76,23.2633
1,7,-0.0007,-0.0002,100.0,518.67,641.01,1586.65,1408.2,14.62,21.6,553.86,2388.01,9035.45,1.3,47.23,520.77,2388.13,8128.24,8.418,0.03,392,2388,100.0,38.77,23.3389
1,8,0.0015,0.0002,100.0,518.67,640.84,1589.71,1395.14,14.62,21.6,554.98,2387.96,9046.39,1.3,47.25,520.46,2387.93,8131.45,8.379,0.03,393,2388,100.0,38.79,23.3567
1,9,-0.0016,-0.0001,100.0,518.67,641.27,1581.87,1401.75,14.62,21.6,552.66,2388.02,9053.11,1.3,47.35,520.05,2387.94,8136.97,8.421,0.03,392,2388,100.0,38.89,23.2426
1,10,0.0005,0.0001,100.0,518.67,640.9,1591.22,1402.83,14.62,21.6,553.98,2387.97,9057.44,1.3,47.4,520.23,2388.06,8135.73,8.438,0.03,394,2388,100.0,38.83,23.2363
1,11,-0.0018,-0.0002,100.0,518.67,641.07,1586.71,1402.14,14.62,21.6,553.55,2388.09,9049.14,1.3,47.61,520.91,2387.97,8118.01,8.429,0.03,392,2388,100.0,38.91,23.295
1,12,-0.0001,-0.0003,100.0,518.67,640.72,1584.41,1404.55,14.62,21.6,552.75,2388.03,9054.46,1.3,47.15,520.64,2388.02,8117.22,8.426,0.03,393,2388,100.0,38.93,23.3214
1,13,-0.0028,-0.0003,100.0,518.67,641.23,1587.35,1403.28,14.62,21.6,553.8,2388.08,9059.12,1.3,47.35,520.37,2388.05,8121.74,8.41,0.03,392,2388,100.0,38.85,23.3819
