timestamp,temp_out,temp_core,pressure,vibration,flow
2024-03-01 00:00:00,641.17,1399.16,554.91,47.28,8.344
2024-03-01 01:00:00,640.66,1399.28,553.06,47.06,8.385
2024-03-01 02:00:00,641.08,1394.97,554.32,47.18,8.436
2024-03-01 03:00:00,641.18,1404.1,553.65,47.16,8.43
2024-03-01 04:00:00,641.13,1400.33,552.22,47.19,8.417
2024-03-01 05:00:00,641.13,1402.62,554.33,47.18,8.408
2024-03-01 06:00:00,641.01,1408.2,553.86,47.23,8.418
2024-03-01 07:00:00,640.84,1395.14,554.98,47.25,8.379
2024-03-01 08:00:00,641.27,1401.75,552.66,47.35,8.421
2024-03-01 09:00:00,640.9,1402.83,553.98,47.4,8.438
2024-03-01 12:00:00,641.23,1403.28,553.8,47.35,8.41
2024-03-01 13:00:00,640.71,1405.67,552.77,47.18,8.483
2024-03-01 14:00:00,640.92,1403.43,552.65,47.19,8.447
2024-03-01 15:00:00,640.95,1404.6,553.3,47.25,8.408
2024-03-01 16:00:00,640.89,1402.39,553.33,47.37,8.364
2024-03-01 17:00:00,641.02,1405.09,552.83,,8.446
2024-03-01 18:00:00,641.29,1400.91,553.7,,8.421
2024-03-01 19:00:00,640.85,1405.04,553.54,47.31,8.401
2024-03-01 20:00:00,641.23,1400.08,552.26,47.28,8.423
2024-03-01 21:00:00,640.97,1408.19,553.32,47.34,8.429
2024-03-01 22:00:00,641.4,1410.92,552.54,47.25,8.486
2024-03-01 23:00:00,641.65,1400.37,553.81,47.12,8.418
2024-03-02 00:00:00,641.37,1396.21,553.16,47.35,8.485
2024-03-02 02:00:00,640.88,1404.0,552.57,47.46,8.411
2024-03-02 03:00:00,641.23,1403.48,552.7,47.28,8.391
2024-03-02 04:00:00,642.0,1402.21,551.83,47.17,8.464
2024-03-02 05:00:00,641.37,1402.05,551.92,47.17,8.421
2024-03-02 06:00:00,641.18,1400.6,553.01,47.46,8.457
2024-03-02 07:00:00,641.02,1396.35,551.94,47.25,8.467
2024-03-02 08:00:00,641.4,1404.58,552.68,47.4,8.43
2024-03-02 09:00:00,641.18,1401.56,551.98,47.38,8.469
2024-03-02 10:00:00,641.36,1405.81,552.65,47.27,8.431
2024-03-02 11:00:00,641.04,1404.88,551.95,47.44,8.394
2024-03-02 12:00:00,641.9,1403.91,,47.45,8.433
2024-03-02 13:00:00,641.68,1401.85,551.42,47.23,8.442
2024-03-02 14:00:00,641.25,1411.05,552.21,47.41,8.446
2024-03-02 15:00:00,641.34,1409.77,552.99,47.36,8.419
2024-03-02 19:00:00,640.92,1406.02,552.76,47.19,8.473
2024-03-02 20:00:00,641.12,1400.32,551.56,47.46,8.462
2024-03-02 21:00:00,641.8,1411.56,551.75,47.52,8.458
2024-03-02 22:00:00,641.51,1407.74,552.0,47.47,8.493
2024-03-02 23:00:00,641.25,1402.65,551.81,47.61,8.506
2024-03-03 00:00:00,641.4,1402.52,553.34,47.64,8.455
2024-03-03 01:00:00,641.45,1400.69,551.79,47.31,8.474
2024-03-03 02:00:00,641.24,1410.46,551.38,47.55,8.52
2024-03-03 03:00:00,641.91,1401.68,551.39,47.4,8.544
2024-03-03 04:00:00,641.56,1407.33,552.28,47.63,8.473
2024-03-03 05:00:00,641.74,1405.25,552.2,47.44,8.467
2024-03-03 06:00:00,641.7,1405.69,552.43,47.54,8.528
2024-03-03 07:00:00,641.61,1402.99,552.19,47.73,8.472
2024-03-03 08:00:00,641.42,1406.71,551.97,,8.517
2024-03-03 09:00:00,641.28,1402.83,550.45,47.3,8.447
2024-03-03 10:00:00,641.41,1406.36,551.39,47.47,8.494
2024-03-03 11:00:00,641.57,1408.17,551.18,47.78,8.459
2024-03-03 12:00:00,641.47,1412.63,551.48,47.38,8.499
2024-03-03 13:00:00,641.75,1403.98,551.39,47.61,8.462
2024-03-03 14:00:00,641.49,1408.08,551.84,47.3,8.517
2024-03-03 15:00:00,641.18,1404.02,551.08,47.49,8.495
2024-03-03 16:00:00,641.49,1409.0,551.73,47.28,8.398
2024-03-03 17:00:00,641.25,1413.84,551.38,47.56,8.492
2024-03-03 18:00:00,641.93,1407.49,551.17,47.6,8.516
2024-03-03 19:00:00,641.88,1406.88,551.18,47.76,8.469
2024-03-03 20:00:00,641.78,1396.47,550.29,47.88,8.515
2024-03-03 21:00:00,641.48,1406.17,550.42,47.68,8.462
2024-03-03 22:00:00,641.4,1400.28,551.03,47.75,8.509
2024-03-03 23:00:00,642.0,1403.98,551.54,47.49,8.458
2024-03-04 00:00:00,641.58,1410.7,550.62,47.92,8.478
2024-03-04 01:00:00,641.32,1402.04,550.45,47.63,8.533
2024-03-04 02:00:00,641.73,1409.19,550.98,47.47,8.516
2024-03-04 03:00:00,641.69,1405.89,550.74,47.49,8.466
2024-03-04 04:00:00,641.62,1410.9,550.95,47.73,8.473
2024-03-04 06:00:00,641.31,1413.53,550.58,47.57,8.508
2024-03-04 07:00:00,641.25,1411.24,550.53,47.69,8.488
2024-03-04 08:00:00,641.66,1412.38,550.61,47.51,8.457
2024-03-04 09:00:00,642.1,1405.74,550.22,47.8,8.521
2024-03-04 10:00:00,641.31,1412.58,549.91,47.73,8.553
2024-03-04 11:00:00,642.2,1411.59,550.66,47.71,8.478
2024-03-04 12:00:00,641.74,1411.41,550.36,47.85,8.546
2024-03-04 13:00:00,641.82,1408.15,551.44,47.72,8.551
2024-03-04 14:00:00,641.53,1414.84,549.66,47.57,8.533
2024-03-04 15:00:00,641.59,1406.65,550.89,47.46,8.498
2024-03-04 16:00:00,641.95,1411.46,549.8,47.6,8.56
2024-03-04 17:00:00,641.67,1410.96,551.36,47.64,8.574
2024-03-04 19:00:00,642.03,1407.81,549.67,47.8,8.519
2024-03-04 20:00:00,641.74,1402.47,550.6,47.51,8.556
2024-03-04 21:00:00,641.75,1411.58,549.86,47.55,8.452
2024-03-04 22:00:00,641.7,1406.32,549.75,47.91,8.477
2024-03-04 23:00:00,641.56,1413.59,549.14,47.94,8.527
2024-03-05 00:00:00,641.67,1405.27,,47.89,8.539
2024-03-05 01:00:00,641.85,1407.77,549.74,47.58,8.464
2024-03-05 02:00:00,641.98,1408.33,549.64,47.67,8.516
2024-03-05 03:00:00,642.08,1410.18,549.68,47.83,8.5
2024-03-05 04:00:00,641.95,1411.11,550.2,47.6,8.557
2024-03-05 05:00:00,641.69,1408.52,550.12,47.66,8.526
2024-03-05 06:00:00,641.54,1413.46,549.65,47.89,8.549
2024-03-05 07:00:00,641.35,1415.24,550.24,47.95,8.528
2024-03-05 08:00:00,641.83,1407.35,549.18,47.74,8.534
2024-03-05 09:00:00,641.64,1415.3,549.65,47.78,8.57
2024-03-05 10:00:00,641.39,1411.1,548.59,47.78,8.513
2024-03-05 11:00:00,641.86,1407.52,549.77,47.75,8.569
2024-03-05 12:00:00,641.84,1409.7,549.13,47.63,8.555
2024-03-05 13:00:00,641.69,1409.31,549.57,47.88,8.574
2024-03-05 14:00:00,641.79,1415.65,549.04,47.67,8.527
2024-03-05 15:00:00,641.87,1410.53,549.27,47.75,8.567
2024-03-05 16:00:00,641.49,1405.82,550.33,47.85,8.529
2024-03-05 17:00:00,641.95,1407.01,549.08,47.63,8.628
2024-03-05 18:00:00,641.98,1411.86,549.58,47.8,8.588
2024-03-05 19:00:00,642.69,1411.77,549.34,47.88,8.545
2024-03-05 20:00:00,641.91,1415.47,548.66,47.63,8.568
2024-03-05 21:00:00,642.11,1413.9,549.73,47.79,8.53
2024-03-05 22:00:00,642.09,1404.73,548.58,47.79,8.518
2024-03-05 23:00:00,641.98,1416.21,548.71,47.89,8.568
2024-03-06 02:00:00,642.11,1410.97,548.88,47.54,8.556
2024-03-06 03:00:00,641.68,1411.32,548.19,47.89,8.526
2024-03-06 04:00:00,641.84,1411.88,549.24,47.72,8.586
2024-03-06 05:00:00,642.26,1414.69,548.76,47.81,8.527
2024-03-06 06:00:00,641.94,1405.5,548.65,48.08,8.547
2024-03-06 07:00:00,642.06,1416.56,548.06,47.84,8.557
2024-03-06 08:00:00,642.51,1411.33,548.52,48.07,8.586
2024-03-06 09:00:00,641.85,1412.26,548.88,47.97,8.614
2024-03-06 10:00:00,642.24,1410.4,548.28,47.85,8.565
2024-03-06 11:00:00,642.28,1415.54,549.04,47.89,8.575
2024-03-06 12:00:00,641.81,1411.71,548.38,47.89,8.561
2024-03-06 13:00:00,641.78,1417.33,548.61,47.94,8.542
2024-03-06 14:00:00,641.62,1417.43,548.1,47.87,8.605
2024-03-06 15:00:00,642.41,1406.74,547.73,48.17,8.593
2024-03-06 16:00:00,642.24,1416.2,547.96,48.01,8.598
2024-03-06 17:00:00,642.06,1411.51,548.6,47.92,8.594
2024-03-06 18:00:00,642.26,1417.27,548.62,47.96,8.593
2024-03-06 19:00:00,642.48,1406.3,548.91,47.95,8.571
2024-03-06 20:00:00,642.19,1413.35,547.99,48.07,8.564
2024-03-06 21:00:00,642.13,1414.02,547.92,47.77,8.609
2024-03-06 22:00:00,642.26,1414.97,548.67,47.94,8.584
2024-03-06 23:00:00,642.08,1412.02,548.5,48.18,8.572
2024-03-07 00:00:00,641.9,1413.33,548.37,47.99,8.611
2024-03-07 01:00:00,642.15,1412.85,549.33,48.0,8.55
2024-03-07 02:00:00,642.01,1412.23,547.89,47.88,8.616
2024-03-07 03:00:00,642.4,1411.43,547.34,47.8,8.609
2024-03-07 04:00:00,642.11,1414.67,548.01,48.04,8.56
2024-03-07 05:00:00,642.1,1417.74,547.78,47.95,8.554
2024-03-07 06:00:00,642.65,1410.68,546.13,48.11,8.604
2024-03-07 07:00:00,642.13,1408.46,547.64,48.18,8.609
2024-03-07 08:00:00,641.87,1411.14,548.37,48.0,8.606
2024-03-07 09:00:00,641.91,1413.7,546.26,48.09,8.618
2024-03-07 10:00:00,642.39,1414.87,547.79,48.1,8.616
2024-03-07 11:00:00,642.45,1416.22,547.37,47.87,8.604
2024-03-07 12:00:00,642.06,1410.35,547.56,47.9,8.563
2024-03-07 13:00:00,642.38,1412.66,546.24,48.04,8.596
2024-03-07 14:00:00,642.43,1410.84,547.35,48.21,8.647
2024-03-07 15:00:00,642.51,1415.1,548.27,48.1,8.627
2024-03-07 16:00:00,641.99,1422.94,547.9,47.98,8.583
2024-03-07 17:00:00,642.48,1417.04,547.58,48.08,8.664
2024-03-07 18:00:00,642.32,1410.76,547.59,47.97,8.626
2024-03-07 19:00:00,641.89,1414.24,547.02,48.17,8.599
2024-03-07 20:00:00,642.44,1413.82,547.11,47.83,8.696
2024-03-07 21:00:00,642.09,1413.36,546.7,48.3,8.628
2024-03-07 22:00:00,642.29,1420.64,547.61,47.95,8.608
2024-03-07 23:00:00,641.93,1411.08,546.34,48.0,8.586
2024-03-08 00:00:00,642.62,1413.72,546.3,48.04,8.657
2024-03-08 01:00:00,642.1,1413.27,546.8,48.01,8.606
2024-03-08 02:00:00,642.53,1418.06,545.62,48.13,8.633
2024-03-08 03:00:00,642.66,1417.56,547.29,48.07,8.602
2024-03-08 04:00:00,642.32,1422.53,547.31,48.23,8.618
2024-03-08 05:00:00,642.31,1411.72,544.96,48.26,8.598
2024-03-08 06:00:00,642.16,1414.29,547.44,48.04,8.626
2024-03-08 07:00:00,642.16,1417.3,547.43,47.9,8.595
2024-03-08 08:00:00,642.14,1417.62,546.83,48.01,8.59
2024-03-08 09:00:00,642.72,1411.1,547.21,48.07,8.619
2024-03-08 10:00:00,642.27,1406.83,546.81,48.19,8.627
2024-03-08 11:00:00,641.89,1415.53,547.22,48.1,8.618
2024-03-08 12:00:00,642.39,1410.91,547.51,48.23,8.685
2024-03-08 13:00:00,642.36,1417.62,545.75,48.14,8.582
2024-03-08 14:00:00,642.69,1416.64,545.95,48.29,8.655
2024-03-08 15:00:00,642.14,1418.26,545.88,48.1,8.635
2024-03-08 16:00:00,642.42,1410.42,546.32,48.03,8.577
2024-03-08 17:00:00,642.28,1413.85,546.03,48.03,8.682
2024-03-08 18:00:00,642.17,1415.97,546.15,48.25,8.621
2024-03-08 19:00:00,642.6,1416.3,546.97,48.3,8.713
2024-03-08 20:00:00,642.38,1418.46,546.26,48.1,8.66
2024-03-08 21:00:00,642.93,1415.71,546.52,48.37,8.622
