unit_nr,time_cycles,setting_1,setting_2,setting_3,s_2,s_3,s_4,s_7,s_11
1,1,0.001,0.0,100.0,640.69,1585.21,1399.3,554.17,46.931
1,2,-0.0003,-0.0002,100.0,641.13,1585.55,1401.18,554.36,46.857
1,3,0.0013,0.0,100.0,641.25,1584.72,1400.84,554.0,47.22
1,4,0.003,0.0001,100.0,641.97,1585.94,1401.26,554.13,47.152
1,5,-0.0005,-0.0002,100.0,641.58,1585.72,1401.36,553.87,46.956
1,6,-0.0005,0.0,100.0,640.93,1585.51,1400.67,554.31,47.317
1,7,0.0032,0.0,100.0,640.81,1586.08,1400.37,553.65,47.172
1,8,0.0015,-0.0002,100.0,641.47,1586.94,1400.25,554.37,47.024
1,9,-0.0009,0.0001,100.0,640.69,1586.11,1399.62,553.8,46.77
1,10,0.0011,0.0001,100.0,642.14,1586.26,1401.94,553.36,47.353
1,11,-0.0009,0.0002,100.0,641.87,1586.05,1401.7,553.81,46.919
1,12,-0.0009,0.0002,100.0,641.16,1585.97,1401.1,553.55,46.896
1,13,0.0005,-0.0003,100.0,640.64,1586.89,1400.19,553.98,47.224
1,14,-0.0038,-0.0002,100.0,642.05,1586.19,1401.46,553.51,47.402
1,15,-0.0034,0.0001,100.0,641.42,1586.75,1401.48,553.55,47.283
1,16,-0.0011,0.0001,100.0,642.06,1586.59,1402.54,553.1,47.193
1,17,-0.002,0.0001,100.0,640.81,1587.19,1400.81,553.51,47.204
1,18,0.0006,0.0008,100.0,641.29,1587.23,1401.79,552.9,47.243
1,19,-0.0018,0.0001,100.0,641.6,1587.72,1402.15,553.13,47.24
1,20,-0.0028,0.0002,100.0,641.65,1587.02,1402.08,553.81,47.19
1,21,0.0029,0.0002,100.0,641.45,1587.26,1401.58,553.8,47.177
1,22,-0.0005,0.0001,100.0,641.97,1586.99,1401.56,553.67,47.164
1,23,0.0001,-0.0001,100.0,641.24,1587.39,1401.63,553.23,47.089
1,24,-0.0028,0.0002,100.0,641.69,1587.96,1402.19,553.49,47.154
1,25,-0.0011,-0.0002,100.0,641.84,1588.29,1402.48,553.48,46.992
1,26,0.0002,-0.0,100.0,642.04,1587.46,1402.04,553.11,47.191
1,27,-0.0023,-0.0001,100.0,642.16,1588.59,1402.35,553.89,47.092
1,28,0.0008,0.0,100.0,641.37,1588.99,1402.36,553.68,47.086
1,29,-0.0012,0.0005,100.0,641.22,1588.56,1401.65,553.33,47.248
1,30,-0.0006,-0.0004,100.0,642.51,1589.54,1403.86,553.38,47.401
1,31,-0.0012,0.0001,100.0,642.12,1588.09,1403.04,553.42,47.352
1,32,0.0037,-0.0003,100.0,641.66,1587.92,1402.44,552.72,47.062
