timestamp,설비,제어출력,소입로온도
2024-03-01 09:00:00,1,0.426,861.05
2024-03-01 09:00:10,1,0.463,860.99
2024-03-01 09:00:20,1,0.438,861.05
2024-03-01 09:00:30,1,0.445,861.05
2024-03-01 09:00:40,1,0.421,861.11
2024-03-01 09:00:50,1,0.428,861.11
2024-03-01 09:01:00,1,0.405,861.18
2024-03-01 09:01:10,1,0.443,861.11
2024-03-01 09:01:20,1,0.419,861.18
2024-03-01 09:01:30,1,0.423,861.18
2024-03-01 09:01:40,1,0.424,861.19
2024-03-01 09:01:50,1,0.409,861.25
2024-03-01 09:02:00,1,0.417,861.25
2024-03-01 09:02:10,1,0.393,861.31
2024-03-01 09:02:20,1,0.401,861.31
2024-03-01 09:02:40,1,0.409,861.31
2024-03-01 09:02:50,1,0.387,861.38
2024-03-01 09:03:00,1,0.394,861.38
2024-03-01 09:03:10,1,0.402,861.38
2024-03-01 09:03:20,1,0.41,861.38
2024-03-01 09:03:30,1,0.387,861.44
2024-03-01 09:03:40,1,0.395,861.44
2024-03-01 09:03:50,1,0.372,861.5
2024-03-01 09:04:00,1,0.381,861.5
2024-03-01 09:04:10,1,0.388,861.5
2024-03-01 09:04:20,1,0.395,861.5
2024-03-01 09:04:30,1,0.373,861.56
2024-03-01 09:04:40,1,0.351,861.62
2024-03-01 09:04:50,1,0.389,861.56
2024-03-01 09:05:11,1,0.366,861.62
2024-03-01 09:05:18,1,0.401,861.56
2024-03-01 09:05:35,1,0.377,861.62
2024-03-01 09:05:42,1,0.378,861.64
2024-03-01 09:05:49,1,0.385,861.64
2024-03-01 09:06:01,1,0.361,861.7
2024-03-01 09:06:14,1,0.398,861.64
2024-03-01 09:06:17,1,0.374,861.7
2024-03-01 09:06:31,1,0.381,861.7
2024-03-01 09:06:45,1,0.387,861.7
2024-03-01 09:06:40,1,0.392,861.7
2024-03-01 09:06:50,1,0.397,861.7
2024-03-01 09:07:00,1,0.35,861.82
2024-03-01 09:07:10,1,0.386,861.76
2024-03-01 09:07:20,1,0.39,861.76
2024-03-01 09:07:30,1,0.395,861.76
2024-03-01 09:07:40,1,0.368,861.82
2024-03-01 09:08:00,1,0.402,861.76
2024-03-01 09:08:10,1,0.406,861.76
2024-03-01 09:08:20,1,0.381,861.82
2024-03-01 09:08:30,1,0.414,861.76
2024-03-01 09:08:40,1,0.418,861.76
2024-03-01 09:08:50,1,0.42,861.76
2024-03-01 09:09:00,1,0.422,861.76
2024-03-01 09:09:10,1,0.424,861.76
2024-03-01 09:09:20,1,0.427,861.76
2024-03-01 09:09:30,1,0.397,861.82
2024-03-01 09:09:40,1,0.401,861.82
2024-03-01 09:09:50,1,0.404,861.82
2024-03-01 09:11:10,1,0.43,861.78
2024-03-01 09:11:20,1,0.431,861.78
2024-03-01 09:11:30,1,0.432,861.78
2024-03-01 09:11:40,1,0.433,861.78
2024-03-01 09:11:50,1,0.439,861.76
2024-03-01 09:12:00,1,0.438,861.76
2024-03-01 09:12:10,1,0.44,861.76
2024-03-01 09:12:20,1,0.433,861.78
2024-03-01 09:12:30,1,0.432,861.78
2024-03-01 09:12:40,1,0.433,861.78
2024-03-01 09:12:50,1,0.462,861.71
2024-03-01 09:13:00,1,0.46,861.71
2024-03-01 09:13:10,1,0.458,861.71
2024-03-01 09:13:20,1,0.455,861.71
2024-03-01 09:13:30,1,0.483,861.65
2024-03-01 09:13:40,1,0.481,861.65
