unit_id,cycle,sensor_2,RUL,failure_soon
1,1,642.51,39,0
1,2,641.99,38,0
1,3,641.91,37,0
1,4,641.72,36,0
1,5,641.81,35,0
1,6,641.68,34,0
1,7,642.38,33,0
1,8,641.53,32,0
1,9,642.14,31,0
1,10,641.47,30,0
1,11,642.39,29,0
1,12,641.85,28,0
1,13,642.0,27,0
1,14,642.47,26,0
1,15,641.73,25,0
1,16,642.52,24,0
1,17,642.19,23,0
1,18,641.96,22,0
1,19,642.69,21,0
1,20,641.41,20,0
1,21,641.43,19,0
1,22,642.13,18,0
1,23,642.38,17,0
1,24,641.98,16,0
1,25,641.5,15,0
1,26,642.58,14,0
1,27,642.75,13,0
1,28,643.26,12,0
1,29,643.41,11,0
1,30,643.08,10,0
1,31,643.82,9,0
1,32,644.87,8,0
1,33,644.81,7,1
1,34,644.68,6,1
1,35,645.07,5,1
1,36,646.43,4,1
1,37,646.41,3,1
1,38,646.41,2,1
1,39,646.25,1,1
1,40,647.93,0,1
