rms,spectral_centroid,zero_crossing_rate,label
0.6196,2906.2,0.2283,1
0.1077,1880.5,0.0876,0
0.0883,1500.0,0.0673,0
0.1171,1731.0,0.0806,0
0.1071,1769.5,0.0953,0
0.0872,1659.4,0.0807,0
0.1288,1613.4,0.0742,0
0.0991,1751.6,0.0739,0
0.0987,1855.4,0.0972,0
0.0646,1953.3,0.0897,0
0.3925,2675.1,0.1978,1
0.0722,1944.6,0.0702,0
0.0588,1619.2,0.081,0
0.0887,1789.5,0.0786,0
0.1128,1885.4,0.0723,0
0.0887,1953.8,0.0715,0
0.495,2845.9,0.2089,1
0.0983,1742.0,0.0758,0
0.092,1924.3,0.0901,0
0.5158,2953.3,0.228,1
0.0887,1775.0,0.1074,0
0.1293,1904.3,0.0801,0
0.1074,1663.4,0.0771,0
0.0991,1724.7,0.0994,0
0.0946,1988.5,0.068,0
0.1323,1595.8,0.0797,0
0.0878,1830.0,0.0811,0
0.0818,1767.6,0.0744,0
0.0666,1816.5,0.0896,0
0.0878,2016.9,0.0728,0
0.0863,1772.9,0.0956,0
0.0923,1852.0,0.0823,0
0.1318,1948.0,0.0799,0
0.1236,1708.9,0.0885,0
0.1509,1719.8,0.0761,0
0.1137,1910.7,0.0762,0
0.119,1641.9,0.0828,0
0.5098,2806.8,0.2248,1
0.1203,1782.4,0.0712,0
0.0869,1796.0,0.0881,0
0.0879,1729.9,0.0855,0
0.1219,1797.8,0.085,0
0.0992,1933.9,0.0777,0
0.11,1665.8,0.087,0
0.1207,1615.7,0.0961,0
0.0863,1665.0,0.0818,0
0.0851,1862.6,0.0829,0
0.0948,1764.4,0.0963,0
0.0991,1936.0,0.0792,0
0.109,1773.8,0.076,0
0.109,1671.4,0.0795,0
0.1038,1768.8,0.088,0
0.0852,1822.6,0.0897,0
0.1224,1753.3,0.0789,0
0.0766,1851.7,0.0815,0
0.0971,1711.4,0.0641,0
0.447,2939.8,0.1991,1
0.1098,1929.8,0.0669,0
0.077,1974.9,0.0883,0
0.0914,1673.2,0.0783,0
0.1029,1639.0,0.0952,0
0.098,1903.6,0.0888,0
0.085,1777.1,0.0784,0
0.1311,1554.4,0.0781,0
0.1085,1870.5,0.0744,0
0.1016,1795.4,0.0691,0
0.0906,1688.7,0.0786,0
0.0901,1797.7,0.0909,0
0.5301,2899.3,0.2541,1
0.0897,1755.3,0.0725,0
0.1162,1712.6,0.0867,0
0.1078,1909.6,0.0928,0
0.1458,1665.4,0.071,0
0.1054,1800.5,0.091,0
0.1152,1795.7,0.0874,0
0.0988,1807.8,0.0746,0
0.1001,1815.6,0.0731,0
0.1265,1827.1,0.0607,0
0.4984,2946.9,0.2383,1
0.1146,1748.6,0.0953,0
0.0983,1739.8,0.0778,0
0.1046,1761.6,0.0971,0
0.091,1821.6,0.0796,0
0.0951,1727.7,0.0857,0
0.0724,1731.6,0.083,0
0.0845,1965.6,0.0676,0
0.0937,1835.0,0.0789,0
0.0722,1699.1,0.0752,0
0.0874,1900.6,0.0838,0
0.1138,1780.5,0.0941,0
0.1141,1722.8,0.0843,0
0.1338,1812.1,0.0645,0
0.0722,1956.7,0.0759,0
0.1451,1885.0,0.0733,0
0.1102,1702.7,0.0734,0
0.1002,1811.9,0.0593,0
0.1187,1686.4,0.0939,0
0.0846,1771.9,0.0807,0
0.0927,1933.1,0.0768,0
0.1123,1773.5,0.0973,0
0.0973,1620.7,0.0735,0
0.1262,1586.5,0.0944,0
0.086,1647.1,0.0775,0
0.1108,1837.9,0.0822,0
