rms,spectral_centroid,zero_crossing_rate,label
0.0659,1982.7,0.1171,0
0.0393,2160.8,0.0821,0
0.0443,2065.9,0.091,0
0.0458,1884.4,0.1072,0
0.0698,2430.9,0.0864,0
0.074,2728.5,0.0983,0
0.0518,2367.9,0.0387,0
0.0402,2154.0,0.1126,0
0.0515,1920.9,0.0897,0
0.0368,2459.2,0.1481,0
0.039,2124.3,0.0928,0
0.046,2325.0,0.1017,0
0.0465,1974.1,0.085,0
0.0521,1728.9,0.0918,0
0.0252,1852.2,0.1018,0
0.0612,1542.1,0.0833,0
0.0527,2358.3,0.0918,0
0.0695,1757.5,0.0722,0
0.0593,2108.7,0.0825,0
0.0492,1707.0,0.0796,0
0.0591,2057.3,0.1006,0
0.1308,1989.7,0.1159,1
0.0395,1976.4,0.0548,0
0.125,2846.4,0.0687,1
0.0602,1857.3,0.1063,0
0.0309,1481.8,0.0677,0
0.1353,2434.4,0.0679,1
0.0466,2113.5,0.0838,0
0.0455,1560.8,0.0966,0
0.0557,2253.2,0.0931,0
0.065,2950.1,0.1368,1
0.0709,2109.7,0.1066,0
0.0657,2054.8,0.0818,0
0.0308,1801.5,0.0988,0
0.0461,1984.7,0.0689,0
0.0671,2895.5,0.1461,1
0.0413,1836.5,0.0471,0
0.0554,1886.3,0.0655,0
0.031,2369.0,0.0974,0
0.0544,2103.2,0.0986,0
0.0611,2113.6,0.0678,0
0.0466,2049.4,0.1118,0
0.0619,1705.4,0.1056,0
0.0415,1955.1,0.0939,0
0.0779,1948.7,0.0499,0
0.0583,2835.7,0.1529,1
0.0499,1959.1,0.0968,0
0.0552,1860.1,0.0993,0
0.042,2058.0,0.0923,0
0.0421,1909.2,0.0824,0
0.0377,2044.8,0.0944,0
0.0378,2078.4,0.1068,0
0.0497,2078.5,0.0733,0
0.049,1578.2,0.0611,0
0.0144,1864.1,0.1384,0
0.0555,2175.5,0.0928,0
0.0341,1750.7,0.098,0
0.0578,2185.8,0.1009,0
0.0563,2069.1,0.0617,0
0.066,1952.2,0.1181,0
0.0322,1778.0,0.0828,0
0.0356,2121.7,0.0806,0
0.0444,1840.3,0.0845,0
0.0662,2782.3,0.1426,1
0.0373,1968.7,0.1196,0
0.0526,2217.9,0.0945,0
0.0472,2044.1,0.0959,0
0.0347,2043.1,0.1216,0
0.0601,1568.2,0.0987,0
0.0406,2107.6,0.073,0
0.1599,1947.0,0.0891,1
0.0442,1986.6,0.1254,0
0.1267,2315.3,0.0909,1
0.058,2271.3,0.0973,0
0.0691,2570.7,0.1584,1
0.0695,2788.3,0.1396,1
0.0539,2090.5,0.1164,0
0.057,1985.8,0.0866,0
0.0464,2016.6,0.0761,0
0.0484,2087.2,0.129,0
0.0529,1851.5,0.0611,0
0.0757,3055.9,0.1451,1
0.0707,1753.3,0.0851,0
0.0651,2823.8,0.1292,1
0.0718,2182.7,0.0586,0
0.0483,2266.5,0.0931,0
0.0482,2095.8,0.11,0
0.0397,2092.2,0.0708,0
0.0576,1635.7,0.0836,0
0.0459,1630.8,0.1113,0
0.1259,2910.5,0.1078,1
0.1141,1978.4,0.1279,1
0.0573,1427.2,0.0961,0
0.0484,1656.3,0.0852,0
0.0522,1693.9,0.0626,0
0.0454,2365.4,0.0679,0
0.0575,1922.7,0.0991,0
0.0598,1901.6,0.1004,0
0.0663,2208.8,0.0971,0
0.0516,2245.7,0.08,0
0.091,2279.6,0.1166,1
0.0324,2532.3,0.0643,0
0.0418,2305.6,0.0869,0
0.0751,2393.3,0.0977,0
0.102,2357.0,0.0736,1
0.0427,1866.5,0.0686,0
0.061,1668.4,0.0906,0
0.1241,1997.4,0.1277,1
0.1467,2674.4,0.1037,1
0.0449,1912.0,0.1006,0
0.0509,2103.5,0.1223,0
0.048,1734.4,0.0794,0
0.0575,2803.6,0.1403,1
0.0511,1790.7,0.0781,0
0.0501,2120.2,0.0989,0
0.0398,2219.8,0.1056,0
0.0503,2400.4,0.0852,0
0.0481,1741.1,0.0565,0
0.0429,2078.9,0.1141,0
0.0638,1401.4,0.0743,0
0.0378,2008.2,0.0657,0
0.0693,1885.6,0.0922,0
0.0755,1794.7,0.1068,0
0.0411,1794.4,0.094,0
0.0413,2079.1,0.0881,0
0.0312,2159.4,0.0792,0
0.0389,1902.5,0.0625,0
0.0633,1759.5,0.097,0
0.0402,1896.2,0.0778,0
0.0261,1626.2,0.1173,0
0.0519,1970.3,0.0957,0
0.0358,1758.7,0.0755,0
0.0298,1916.3,0.0933,0
0.0603,2210.5,0.1011,0
0.0623,2924.1,0.1447,1
0.0547,1739.9,0.0995,0
0.0398,1928.2,0.0607,0
0.0863,2052.1,0.1162,1
0.0477,2292.8,0.105,0
0.049,2197.7,0.0969,0
0.0486,1790.0,0.0735,0
0.0581,2016.9,0.0958,0
0.0381,1467.0,0.0954,0
0.0944,2172.9,0.097,1
0.0532,1784.2,0.087,0
0.057,2177.8,0.1059,0
0.0421,2107.0,0.0862,0
0.0387,1887.9,0.099,0
0.0223,2013.6,0.0806,0
0.1303,2126.7,0.1419,1
0.0416,1944.0,0.0948,0
0.058,1975.4,0.0815,0
0.0574,1915.2,0.1113,0
0.0391,1905.5,0.116,0
0.0451,1928.9,0.0937,0
0.0951,2033.4,0.1082,1
0.0445,1926.7,0.1287,0
0.1273,1577.0,0.0811,1
0.0601,2002.9,0.1166,0
0.067,2703.1,0.1722,1
0.0707,1616.5,0.1073,0
0.046,2278.6,0.0977,0
0.0313,1925.7,0.092,0
0.0783,2770.6,0.146,1
0.1363,2372.5,0.0656,1
0.0633,2107.2,0.1207,0
0.0475,1762.5,0.0832,0
0.0757,1898.4,0.0798,0
0.0742,2625.1,0.121,1
0.0442,1918.1,0.1101,0
0.0649,2616.4,0.157,1
0.0532,2120.0,0.0551,0
0.0363,2001.6,0.142,0
0.0628,2058.2,0.0947,0
0.0484,1542.3,0.1086,0
0.0613,1512.2,0.064,0
0.1074,2109.0,0.1235,1
0.0359,1907.9,0.0968,0
0.0688,2686.0,0.1451,1
0.0468,2058.0,0.0789,0
0.022,1830.4,0.105,0
0.0508,2281.8,0.0994,0
0.0509,1867.6,0.0947,0
0.1069,2464.5,0.1147,1
0.0457,2184.4,0.0713,0
0.0419,2078.0,0.1131,0
0.1164,2224.0,0.106,1
0.1333,2415.5,0.1239,1
0.0629,1788.6,0.0967,0
0.0481,1989.8,0.0769,0
0.0354,1780.5,0.0833,0
0.0576,1944.4,0.0606,0
0.138,2521.8,0.106,1
0.0679,1783.5,0.1094,0
0.0605,1987.5,0.0863,0
0.0392,2232.9,0.0977,0
0.0527,2629.4,0.1275,0
0.0537,1740.0,0.105,0
0.058,1827.9,0.108,0
0.0468,1970.6,0.1066,0
0.0657,1599.4,0.065,0
0.0531,2391.2,0.0828,0
0.0254,1987.8,0.0731,0
0.0607,1820.1,0.0599,0
0.0261,1675.9,0.0604,0
0.0676,1702.8,0.0772,0
0.0681,2159.4,0.076,0
0.0542,2013.3,0.09,0
0.0565,2334.3,0.0869,0
0.0477,1681.1,0.0673,0
0.0596,2430.2,0.0624,0
0.1139,2073.9,0.0842,1
0.0408,1721.9,0.1138,0
0.0708,2294.4,0.0988,0
0.0749,2017.3,0.0932,0
0.0544,2712.7,0.1466,1
0.0669,2022.6,0.1029,0
0.0583,1893.2,0.0932,0
0.1247,2783.3,0.0794,1
0.0447,2363.8,0.0926,0
