rms,spectral_centroid,zero_crossing_rate
0.1104,2565.5,0.1073
0.0365,2098.5,0.1052
0.055,1892.2,0.0954
0.0595,2047.4,0.0948
0.0367,2371.1,0.091
0.0652,2177.5,0.0727
0.1229,2668.5,0.0964
0.0652,2773.5,0.152
0.0593,2462.0,0.0877
0.0427,1985.1,0.0848
0.058,2263.9,0.0852
0.0699,1834.1,0.114
0.1272,2081.3,0.1106
0.1285,2974.6,0.1216
0.0447,1903.1,0.0622
0.07,2285.1,0.1017
0.0648,2772.3,0.1521
0.0564,2694.0,0.1321
0.0597,1655.9,0.0813
0.0383,1651.8,0.0913
0.1286,1901.8,0.0926
0.0603,2127.3,0.1262
0.0404,2221.7,0.0984
0.0469,2004.4,0.1167
0.0248,2158.6,0.0667
0.0322,1866.5,0.0933
0.0452,1760.5,0.1142
0.0427,1808.7,0.0774
0.0659,2758.3,0.1556
0.0345,1806.1,0.1081
0.0517,1793.1,0.0809
0.0629,3028.4,0.1203
0.1188,2046.4,0.1198
0.0507,2106.1,0.0945
0.0494,2150.7,0.0858
0.0419,1887.2,0.1129
0.0623,2410.5,0.1129
0.042,1936.9,0.0856
0.059,2159.9,0.0754
0.0737,2024.8,0.1008
