일자,설비명,구역,온도,진동,소음,가동시간,상태
1,A호기,1구역,63.5,1.82,56.9,7.2,정상
1,B호기,1구역,70.2,2.64,64.7,6.8,정상
1,C호기,2구역,75.4,3.4,66.2,8.0,정상
2,A호기,1구역,59.2,1.96,55.0,8.1,정상
2,B호기,1구역,66.5,2.57,61.4,6.5,정상
2,C호기,2구역,78.4,4.02,69.1,7.0,점검
3,A호기,1구역,65.7,2.07,57.9,6.8,정상
3,B호기,1구역,70.9,2.58,64.9,8.7,정상
3,C호기,2구역,77.0,4.32,68.1,8.2,점검
4,A호기,1구역,64.8,2.29,60.3,8.2,정상
4,B호기,1구역,69.9,2.14,61.8,7.4,정상
4,C호기,2구역,74.2,3.81,64.8,7.3,정상
5,A호기,1구역,63.4,2.09,57.2,7.1,정상
5,B호기,1구역,66.9,2.85,61.1,8.3,정상
5,C호기,2구역,75.2,4.28,65.8,7.6,점검
6,A호기,1구역,65.9,2.31,59.9,8.6,정상
6,B호기,1구역,70.9,2.72,62.6,6.6,정상
6,C호기,2구역,76.6,3.99,67.1,9.3,정상
7,A호기,1구역,65.1,2.05,59.7,7.7,정상
7,B호기,1구역,71.4,2.47,63.2,7.2,정상
7,C호기,2구역,78.7,4.07,70.3,9.2,점검
